,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time,RA_Time
48,48,ETD387,A320,Seeb Int'l (MCT / OOMS),Abu Dhabi Int'l (AUH / OMAA),Fri 06:51PM +04,Fri 07:21PM +04,0 days 00:50:00,0h 51m,50.0,51.0
49,49,AUA848,A320,Rinas Mother Teresa (TIA / LATI),Vienna Int'l (Schwechat) (VIE / LOWW),Fri 03:50PM CET,Fri 05:06PM CET,0 days 01:11:00,1h 28m,71.0,88.0
50,50,5AK5112,A320,El Dorado Int'l (BOG / SKBO),,Fri 09:50AM -05,,,,,
51,51,AIQ3013,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 09:50PM +07,Fri 10:55PM +07,0 days 01:05:00,1h 25m,65.0,85.0
52,52,RYL411,A320,Near Wuzhou, Guangxi,,Fri 10:50PM CST,,,,
53,53,NKS2706,A320,Baltimore/Washington Intl (KBWI),Orlando Intl (KMCO),Fri 10:50AM EDT,Fri 12:54PM EDT,0 days 01:55:00,2h 34m,115.0,154.0
54,54,LAN420,A320,Jorge Newbery (AEP / SABE),,Fri 11:50AM -03,,,,,
55,55,TAM3043,A320,Tancredo Neves Int'l (CNF / SBCF),São Paulo-Congonhas (CGH / SBSP),Fri 11:50AM -03,Fri 12:51PM -03,0 days 01:01:00,0h 51m,61.0,51.0
56,56,WMT3551,A320,Timişoara Traian Vuia Int'l (TSR / LRTR),Orio al Serio Int'l (BGY / LIME),Fri 04:50PM EET,Fri 05:20PM CET,0 days 01:30:00,1h 55m,90.0,115.0
57,57,AIQ3206,A320,Chiang Rai Int'l (CEI / VTCT),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 09:50PM +07,Fri 10:45PM +07,0 days 00:55:00,1h 18m,55.0,78.0
58,58,VLG3513,A320,Ibiza (IBZ / LEIB),Barcelona Int'l (BCN / LEBL),Fri 03:50PM CET,Fri 04:10PM CET,0 days 00:36:00,0h 42m,36.0,42.0
59,59,PGT1865,A320,Ercan Int'l (ECN / LCEN),İzmir Adnan Menderes Int'l (ADB / LTBJ),Fri 04:50PM EET,Fri 06:50PM +03,0 days 01:00:00,1h 21m,60.0,81.0
60,60,JBU1861,A320,LaGuardia (KLGA),Southwest Florida Intl (KRSW),Fri 10:50AM EDT,Fri 01:18PM EDT,0 days 02:31:00,2h 48m,151.0,168.0
61,61,VTI575,A320,Bengaluru Int'l (BLR / VOBL),Sardar Vallabhbhai Patel Int'l (Ahmedabad) (AMD / VAAH),Fri 08:20PM IST,Fri 09:50PM IST,0 days 01:45:00,1h 39m,105.0,99.0
62,62,EZY8710,A320,Menara Int'l (RAK / GMMX),London Gatwick (LGW / EGKK),Fri 02:49PM +00,Fri 05:18PM GMT,0 days 02:29:00,3h 15m,149.0,195.0
