"Aircraft","FlightType","Departure_Date","Departure_Time","Arrival_Date","Arrival_Time","EA_Time_Minutes","RA_Time_Minutes","Delay_Time","Delay_Predicted"
"231","A320","5","340","5","428","97","142","45","43.964170240434925"
"234","A320","5","325","5","447","139","145","6","6.448404861797174"
"248","A320","5","324","5","421","75","87","12","12.370300125522066"
"260","A320","5","324","5","448","140","149","9","9.323185978756017"
"275","A320","5","313","5","381","49","75","26","25.866019271038425"
"323","A320","5","150","5","248","186","211","25","24.549166937705905"
"330","A320","5","151","5","202","63","73","10","10.483371921354761"
"343","A320","5","151","5","207","85","104","19","19.05810424849895"
"367","A320","5","143","5","160","21","52","31","30.73478395916601"
"388","A320","5","144","5","206","82","105","23","22.902460532663753"
"400","A320","5","150","5","199","115","150","35","34.325862911644506"
"414","A320","5","59","5","93","124","155","31","30.465839988406344"
"416","A320","5","58","5","89","47","47","0","0.9338422139801512"
"563","A320","5","193","5","247","70","82","12","12.383355658083206"
"582","A320","5","324","5","383","35","35","0","0.9651754921269049"
"622","A320","5","144","5","169","44","59","15","15.328636650872271"
"632","A320","5","314","5","403","84","90","6","6.59201571996981"
"636","A320","5","191","5","355","231","256","25","24.431667144655563"
"641","A320","5","60","5","89","110","128","18","18.033695844536183"
"660","A320","5","56","5","82","65","75","10","10.478149708330294"
"667","A320","5","56","5","84","75","90","15","15.247692348993143"
"693","A320","5","152","5","208","148","168","20","19.852735279385513"
"710","A320","5","272","5","364","95","124","29","28.62330059494694"
"7","A320","6","168","6","326","191","275","84","81.12482513340944"
"48","A320","6","340","6","467","115","130","15","15.14324808850394"
"77","A320","7","72","7","111","50","72","22","22.02688519989809"
"94","A320","6","188","6","227","36","46","10","10.553871797184962"
"100","A320","6","193","6","257","97","98","1","1.7624176295256877"
"109","A320","6","340","7","6","245","270","25","24.395111653484378"
"126","A320","6","189","6","236","56","86","30","29.684264490080928"
"132","A320","6","191","6","233","47","69","22","22.034718519434776"
"169","A320","6","259","6","394","182","206","24","23.600480622597814"
"206","A320","7","29","7","89","225","220","-5","-4.326588450981914"
"216","A320","7","25","7","83","206","245","39","37.924775183659705"
"312","A320","6","322","6","481","219","238","19","18.708215975860156"
"321","A320","6","323","6","452","87","111","24","23.84853574125964"
"326","A320","6","387","7","21","52","69","17","17.22600928108848"
"398","A320","6","326","6","450","140","140","0","0.6910093083427586"
"399","A320","7","2","7","44","155","165","10","10.243150122229624"
"435","A320","6","341","6","455","90","100","10","10.412872045524553"
"439","A320","6","338","7","22","170","184","14","14.040506489174279"
"449","A320","6","191","0","0","99.5","114","14.5","14.704154868864991"
"454","A320","6","192","6","274","113","165","52","50.636307724338465"
"460","A320","6","189","6","230","59","78","19","19.12599301781693"
"469","A320","6","191","6","300","149","282","133","128.23189792361748"
"474","A320","7","55","7","94","50","76","26","25.86340816452619"
"517","A320","6","192","6","239","120","172","52","50.618029978752844"
"520","A320","6","367","7","35","290","290","0","0.29934333150834114"
"523","A320","6","366","7","29","140","140","0","0.6910093083427586"
"551","A320","6","390","7","5","60","65","5","5.695551535106306"
"553","A320","6","386","6","457","95","133","38","37.2554772653602"
"567","A320","6","388","7","28","130","140","10","10.30842778503535"
"603","A320","6","259","6","309","45","45","0","0.9390644270046113"
"639","A320","7","26","7","85","200","200","0","0.5343429176089689"
"646","A320","6","167","6","306","219","238","19","18.708215975860156"
"648","A320","6","149","6","278","181","201","20","19.766568764481917"
"677","A320","6","342","6","456","90","90","0","0.821564633954269"
"678","A320","6","339","6","471","185","207","22","21.674385820747062"
"697","A320","6","339","6","450","85","93","8","8.507666095771642"
"700","A320","6","190","6","232","113","129","16","16.10760104268543"
"703","A320","6","166","6","213","166","184","18","17.887473879851314"
"704","A320","6","143","6","276","177","201","24","23.613536155158954"
"709","A320","6","390","7","74","310","343","33","31.898435659445624"
"9","A320","6","186","6","352","155","193","38","37.09881087462642"
"13","A320","6","219","6","286","81","85","4","4.6815875571924455"
"35","A320","6","384","0","0","99.5","12","14.5","-83.12718072915192"
"78","A320","7","87","7","121","45","69","24","23.958202214773294"
"102","A320","6","220","6","314","110","129","19","18.99282658569321"
"104","A320","6","220","6","387","212","246","34","33.1134548388012"
"166","A320","6","253","6","311","41","76","35","34.51908479354952"
"186","A320","6","337","0","0","99.5","11","14.5","-84.08631147030894"
"210","A320","7","34","7","69","85","100","15","15.221581283870835"
"214","A320","7","35","7","86","163","185","22","21.731830164016117"
"278","A320","6","187","6","303","161","175","14","14.064006447784353"
"308","A320","6","362","6","435","74","94","20","20.045957161290517"
"311","A320","7","1","7","27","255","274","19","18.614216141419888"
"363","A320","6","337","7","19","236","254","18","17.704696423995216"
"490","A320","7","20","7","53","320","340","20","19.403624959281956"
"496","A320","6","288","0","0","99.5","114","14.5","14.704154868864991"
"522","A320","6","218","0","0","99.5","114","14.5","14.704154868864991"
"580","A320","7","1","7","19","60","65","5","5.695551535106306"
"640","A320","6","164","6","282","121","147","26","25.67801960215789"
"668","A320","6","148","6","269","119","123","4","4.58236550972771"
"671","A320","6","185","6","243","75","75","0","0.8607312316377165"
