Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
VOI953,A320,Fresno Yosemite Intl (KFAT),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),07.03.2024,01:57AM,07.03.2024,07:09AM,0 days 03:12:00,3h 22m,192,202,10
AFL1842,A320,Sheremetyevo Int'l (SVO / UUEE),Minsk Int'l (MSQ / UMMS),07.03.2024,01:20PM,07.03.2024,02:25PM,0 days 01:21:00,1h 15m,81,75,-6
AFL2814,A320,Pulkovo (LED / ULLI),Adler-Sochi Int'l (AER / URSS),07.03.2024,01:20PM,07.03.2024,05:32PM,0 days 04:12:00,4h 35m,252,275,23
AHY8105,A320,Heydar Aliyev Int'l (GYD / UBBB),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),07.03.2024,02:21PM,07.03.2024,04:01PM,0 days 02:40:00,3h 00m,160,180,20
ARE4093,A320,Rafael Nunez Int'l (CTG / SKCG),El Dorado Int'l (BOG / SKBO),07.03.2024,05:19AM,07.03.2024,06:34AM,0 days 01:15:00,1h 34m,75,94,19
ARE4150,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),07.03.2024,05:18AM,07.03.2024,06:20AM,0 days 01:15:00,1h 12m,75,72,-3
AVA8452,A320,El Dorado Int'l (BOG / SKBO),Rafael Nunez Int'l (CTG / SKCG),07.03.2024,05:20AM,07.03.2024,06:31AM,0 days 01:11:00,1h 31m,71,91,20
AWQ463,A320,Lombok International (LOP / WADL),Kuala Lumpur Int'l (KUL / WMKK),07.03.2024,06:20PM,07.03.2024,09:00PM,0 days 02:40:00,2h 40m,160,160,0
BTK6372,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Yogyakarta International Airport (YIA / WAHI),07.03.2024,05:19PM,07.03.2024,06:14PM,0 days 00:55:00,1h 05m,55,65,10
CCA2683,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Jieyang Chaoshan International Airport (SWA / ZGOW),07.03.2024,06:22PM,07.03.2024,08:27PM,0 days 02:05:00,2h 07m,125,127,1.99999999999999
CCA8294,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Wuhan Tianhe (WUH / ZHHH),07.03.2024,06:18PM,07.03.2024,07:39PM,0 days 01:24:00,1h 33m,84,93,9
CES6127,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Zhanjiang (ZHA / ZGZJ),07.03.2024,06:20PM,07.03.2024,08:11PM,0 days 01:50:00,1h 55m,110,115,5
CSC6426,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Rizhao Shanzihe (RIZ / ZSRZ),07.03.2024,06:20PM,07.03.2024,07:16PM,0 days 00:56:00,1h 06m,56,66,10
CSC8767,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Changsha Huanghua Int'l (CSX / ZGHA),07.03.2024,06:21PM,07.03.2024,07:48PM,0 days 01:23:00,1h 37m,83,97,14
CSN3040,A320,Singapore Changi (SIN / WSSS),Guangzhou Baiyun Int'l (CAN / ZGGG),07.03.2024,06:21PM,07.03.2024,09:59PM,0 days 03:37:00,3h 47m,217,227,10
CTV172,A320,Halim Perdanakusuma Int'l (HLP / WIHH),Juanda Int'l (SUB / WARR),07.03.2024,05:20PM,07.03.2024,06:25PM,0 days 01:05:00,1h 30m,65,90,25
EJU3807,A320,Malpensa Int'l (MXP / LIMC),Charles de Gaulle/Roissy (CDG / LFPG),07.03.2024,11:20AM,07.03.2024,12:10PM,0 days 00:50:00,1h 25m,50,85,35
EJU4592,A320,General Humberto Delgado Airport (LIS / LPPT),Charles de Gaulle/Roissy (CDG / LFPG),08.03.2024,10:20AM,08.03.2024,01:14PM,0 days 01:54:00,2h 22m,114,142,28
EZS1591,A320,Geneva Cointrin Int'l (GVA / LSGG),Skopje (SKP / LWSK),08.03.2024,11:19AM,08.03.2024,01:00PM,0 days 01:31:00,2h 01m,91,121,30
EZY2952,A320,Innsbruck (Kranebitten) (INN / LOWI),Bristol Int'l (BRS / EGGD),08.03.2024,11:22AM,08.03.2024,11:47AM,0 days 01:25:00,1h 55m,85,115,30
EZY7774,A320,Luxembourg Int'l (LUX / ELLX),Porto / Oporto (OPO / LPPR),08.03.2024,11:18AM,08.03.2024,12:22PM,0 days 02:03:00,2h 23m,123,143,20
FIN1362,A320,Manchester (MAN / EGCC),Helsinki-Vantaa (HEL / EFHK),08.03.2024,10:19AM,08.03.2024,02:58PM,0 days 02:30:00,3h 00m,150,180,30
GBB209,A320,OR Tambo Int'l (JNB / FAOR),King Shaka Int'l (DUR / FALE),08.03.2024,12:18PM,08.03.2024,12:56PM,0 days 00:38:00,0h 48m,38,48,10
GPX810,A320,Pristina (PRN / BKPR),Basle-Mulhouse (EAP / LFSB),08.03.2024,11:20AM,08.03.2024,01:00PM,0 days 01:40:00,1h 40m,100,100,0
IBE3010,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Barcelona Int'l (BCN / LEBL),08.03.2024,11:21AM,08.03.2024,12:21PM,0 days 01:00:00,1h 10m,60,70,10
JST532,A320,Melbourne Tullamarine (MEL / YMML),Sydney (SYD / YSSY),08.03.2024,09:19PM,08.03.2024,10:25PM,0 days 00:49:00,1h 16m,49,76,27
